trace,frames,algorithm,total_frames,events,disk_reads,disk_writes,page_fault_rate,page_faults
trace/bzip.trace,10,lru,10,1000000,17120,7646,0.0171,17100
trace/bzip.trace,10,clock,10,1000000,29228,11773,0.0292,29200
trace/bzip.trace,10,rand,10,1000000,17184,17174,0.0172,17200
trace/bzip.trace,16,lru,16,1000000,3344,1069,0.0033,3300
trace/bzip.trace,16,clock,16,1000000,3468,1128,0.0035,3500
trace/bzip.trace,16,rand,16,1000000,4541,4525,0.0045,4500
trace/bzip.trace,32,lru,32,1000000,2133,702,0.0021,2100
trace/bzip.trace,32,clock,32,1000000,2203,734,0.0022,2200
trace/bzip.trace,32,rand,32,1000000,2537,2505,0.0025,2500
trace/bzip.trace,48,lru,48,1000000,1490,505,0.0015,1500
trace/bzip.trace,48,clock,48,1000000,1557,540,0.0016,1600
trace/bzip.trace,48,rand,48,1000000,1938,1890,0.0019,1900
trace/bzip.trace,63,lru,63,1000000,1279,424,0.0013,1300
trace/bzip.trace,63,clock,63,1000000,1336,447,0.0013,1300
trace/bzip.trace,63,rand,63,1000000,1572,1509,0.0016,1600
trace/bzip.trace,79,lru,79,1000000,1055,355,0.0011,1100
trace/bzip.trace,79,clock,79,1000000,1063,364,0.0011,1100
trace/bzip.trace,79,rand,79,1000000,1333,1254,0.0013,1300
trace/bzip.trace,95,lru,95,1000000,942,310,0.0009,900
trace/bzip.trace,95,clock,95,1000000,977,325,0.001,1000
trace/bzip.trace,95,rand,95,1000000,1190,1095,0.0012,1200
trace/bzip.trace,111,lru,111,1000000,848,256,0.0008,800
trace/bzip.trace,111,clock,111,1000000,860,265,0.0009,900
trace/bzip.trace,111,rand,111,1000000,1101,990,0.0011,1100
trace/bzip.trace,127,lru,127,1000000,773,224,0.0008,800
trace/bzip.trace,127,clock,127,1000000,805,240,0.0008,800
trace/bzip.trace,127,rand,127,1000000,976,849,0.001,1000
trace/bzip.trace,143,lru,143,1000000,710,184,0.0007,700
trace/bzip.trace,143,clock,143,1000000,756,215,0.0008,800
trace/bzip.trace,143,rand,143,1000000,805,662,0.0008,800
trace/bzip.trace,158,lru,158,1000000,637,150,0.0006,600
trace/bzip.trace,158,clock,158,1000000,643,165,0.0006,600
trace/bzip.trace,158,rand,158,1000000,776,618,0.0008,800
trace/bzip.trace,174,lru,174,1000000,554,126,0.0006,600
trace/bzip.trace,174,clock,174,1000000,571,143,0.0006,600
trace/bzip.trace,174,rand,174,1000000,720,546,0.0007,700
trace/bzip.trace,190,lru,190,1000000,509,104,0.0005,500
trace/bzip.trace,190,clock,190,1000000,539,123,0.0005,500
trace/bzip.trace,190,rand,190,1000000,625,435,0.0006,600
trace/bzip.trace,206,lru,206,1000000,469,85,0.0005,500
trace/bzip.trace,206,clock,206,1000000,515,116,0.0005,500
trace/bzip.trace,206,rand,206,1000000,602,396,0.0006,600
trace/bzip.trace,222,lru,222,1000000,436,73,0.0004,400
trace/bzip.trace,222,clock,222,1000000,504,107,0.0005,500
trace/bzip.trace,222,rand,222,1000000,527,305,0.0005,500
